2023-04-17 17:13:44,625 - lr:0.01,weight_decay:0.01,batch_size:20
2023-04-17 17:13:44,625 - CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (relu): ReLU(inplace=True)
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (gmp): MaxPool1d(kernel_size=1, stride=1, padding=0, dilation=1, ceil_mode=False)
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (fc1): Linear(in_features=36, out_features=64, bias=True)
  (fc2): Linear(in_features=64, out_features=2, bias=True)
)
2023-04-17 17:13:54,263 - Epoch:84/100,Train Accuracy:51.11940383911133%
2023-04-17 17:13:54,374 - Epoch:85/100,Train Accuracy:49.62686538696289%
2023-04-17 17:13:54,493 - Epoch:86/100,Train Accuracy:47.01492691040039%
2023-04-17 17:13:54,606 - Epoch:87/100,Train Accuracy:50.74626922607422%
2023-04-17 17:13:54,716 - Epoch:88/100,Train Accuracy:48.656715393066406%
2023-04-17 17:13:54,826 - Epoch:89/100,Train Accuracy:49.402984619140625%
2023-04-17 17:13:54,936 - Epoch:90/100,Train Accuracy:49.402984619140625%
2023-04-17 17:13:55,048 - Epoch:91/100,Train Accuracy:51.044776916503906%
2023-04-17 17:13:55,158 - Epoch:92/100,Train Accuracy:48.208953857421875%
2023-04-17 17:13:55,269 - Epoch:93/100,Train Accuracy:50.44776153564453%
2023-04-17 17:13:55,381 - Epoch:94/100,Train Accuracy:49.402984619140625%
2023-04-17 17:13:55,492 - Epoch:95/100,Train Accuracy:50.29850769042969%
2023-04-17 17:13:55,604 - Epoch:96/100,Train Accuracy:49.55223846435547%
2023-04-17 17:13:55,718 - Epoch:97/100,Train Accuracy:50.29850769042969%
2023-04-17 17:13:55,829 - Epoch:98/100,Train Accuracy:50.82089614868164%
2023-04-17 17:13:55,940 - Epoch:99/100,Train Accuracy:50.149253845214844%
2023-04-17 17:13:56,153 - 
Test set: Avg. loss: 0.0347, Accuracy: 339/660 (51.36%)

2023-04-17 17:13:56,156 - fpr:[0.         0.98119122 1.        ],tpr:[0.         0.97653959 1.        ],threshold:[2 1 0],auc:0.49767418343614117
2023-04-17 17:13:56,156 - This is for user9
2023-04-17 17:13:56,467 - Epoch:0/100,Train Accuracy:50.37313461303711%
2023-04-17 17:13:56,580 - Epoch:1/100,Train Accuracy:50.07462692260742%
2023-04-17 17:13:56,695 - Epoch:2/100,Train Accuracy:47.68656539916992%
2023-04-17 17:13:56,809 - Epoch:3/100,Train Accuracy:50.37313461303711%
2023-04-17 17:13:56,922 - Epoch:4/100,Train Accuracy:51.26865768432617%
2023-04-17 17:13:57,035 - Epoch:5/100,Train Accuracy:51.56716537475586%
2023-04-17 17:13:57,148 - Epoch:6/100,Train Accuracy:50.07462692260742%
2023-04-17 17:13:57,260 - Epoch:7/100,Train Accuracy:48.73134231567383%
2023-04-17 17:13:57,372 - Epoch:8/100,Train Accuracy:50.82089614868164%
2023-04-17 17:13:57,484 - Epoch:9/100,Train Accuracy:47.835819244384766%
2023-04-17 17:13:57,595 - Epoch:10/100,Train Accuracy:50.82089614868164%
2023-04-17 17:13:57,709 - Epoch:11/100,Train Accuracy:48.208953857421875%
2023-04-17 17:13:57,820 - Epoch:12/100,Train Accuracy:50.82089614868164%
2023-04-17 17:13:57,930 - Epoch:13/100,Train Accuracy:48.50746154785156%
2023-04-17 17:13:58,042 - Epoch:14/100,Train Accuracy:50.970149993896484%
2023-04-17 17:13:58,156 - Epoch:15/100,Train Accuracy:47.91044616699219%
2023-04-17 17:13:58,269 - Epoch:16/100,Train Accuracy:50.52238845825195%
2023-04-17 17:13:58,382 - Epoch:17/100,Train Accuracy:48.13432693481445%
2023-04-17 17:13:58,493 - Epoch:18/100,Train Accuracy:50.82089614868164%
2023-04-17 17:13:58,606 - Epoch:19/100,Train Accuracy:49.850746154785156%
2023-04-17 17:13:58,719 - Epoch:20/100,Train Accuracy:46.94029998779297%
2023-04-17 17:13:58,832 - Epoch:21/100,Train Accuracy:50.223880767822266%
2023-04-17 17:13:58,945 - Epoch:22/100,Train Accuracy:48.955223083496094%
2023-04-17 17:13:59,058 - Epoch:23/100,Train Accuracy:50.44776153564453%
2023-04-17 17:13:59,171 - Epoch:24/100,Train Accuracy:50.44776153564453%
2023-04-17 17:13:59,285 - Epoch:25/100,Train Accuracy:50.74626922607422%
