2023-04-05 22:14:10,524 - lr:0.001,weight_decay:0.01,batch_size:20
2023-04-05 22:14:10,524 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(1,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv4): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=150, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 22:14:44,418 - Epoch:41/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:44,667 - Epoch:42/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:44,915 - Epoch:43/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:45,163 - Epoch:44/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:45,412 - Epoch:45/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:45,689 - Epoch:46/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:45,943 - Epoch:47/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:46,198 - Epoch:48/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:46,448 - Epoch:49/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:46,679 - 
Test set: Avg. loss: 0.3356, Accuracy: 319/660 (48.33%)

2023-04-05 22:14:46,682 - fpr:[0. 1.],tpr:[0. 1.],threshold:[1 0],auc:0.5
2023-04-05 22:14:46,682 - This is for user15
2023-04-05 22:14:47,138 - Epoch:0/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:47,387 - Epoch:1/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:47,636 - Epoch:2/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:47,884 - Epoch:3/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:48,139 - Epoch:4/50,Train Accuracy:50.74626922607422%
2023-04-05 22:14:48,390 - Epoch:5/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:48,643 - Epoch:6/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:48,894 - Epoch:7/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:49,150 - Epoch:8/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:49,404 - Epoch:9/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:49,658 - Epoch:10/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:49,919 - Epoch:11/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:50,184 - Epoch:12/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:50,451 - Epoch:13/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:50,715 - Epoch:14/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:50,980 - Epoch:15/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:51,239 - Epoch:16/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:51,494 - Epoch:17/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:51,768 - Epoch:18/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:52,027 - Epoch:19/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:52,285 - Epoch:20/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:52,539 - Epoch:21/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:52,791 - Epoch:22/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:53,053 - Epoch:23/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:53,305 - Epoch:24/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:53,557 - Epoch:25/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:53,807 - Epoch:26/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:54,068 - Epoch:27/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:54,341 - Epoch:28/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:54,618 - Epoch:29/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:54,887 - Epoch:30/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:55,150 - Epoch:31/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:55,426 - Epoch:32/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:55,697 - Epoch:33/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:55,958 - Epoch:34/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:56,220 - Epoch:35/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:56,484 - Epoch:36/50,Train Accuracy:50.89552307128906%
2023-04-05 22:14:56,763 - Epoch:37/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:57,021 - Epoch:38/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:57,300 - Epoch:39/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:57,559 - Epoch:40/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:57,815 - Epoch:41/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:58,069 - Epoch:42/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:58,318 - Epoch:43/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:58,570 - Epoch:44/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:58,827 - Epoch:45/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:59,088 - Epoch:46/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:59,348 - Epoch:47/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:59,607 - Epoch:48/50,Train Accuracy:50.82089614868164%
2023-04-05 22:14:59,867 - Epoch:49/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:00,105 - 
Test set: Avg. loss: 0.1005, Accuracy: 319/660 (48.33%)

2023-04-05 22:15:00,108 - fpr:[0. 1.],tpr:[0. 1.],threshold:[1 0],auc:0.5
2023-04-05 22:15:00,108 - This is for user16
2023-04-05 22:15:00,569 - Epoch:0/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:00,822 - Epoch:1/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:01,075 - Epoch:2/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:01,328 - Epoch:3/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:01,585 - Epoch:4/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:01,844 - Epoch:5/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:02,104 - Epoch:6/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:02,361 - Epoch:7/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:02,616 - Epoch:8/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:02,872 - Epoch:9/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:03,130 - Epoch:10/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:03,382 - Epoch:11/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:03,636 - Epoch:12/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:03,894 - Epoch:13/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:04,155 - Epoch:14/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:04,413 - Epoch:15/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:04,671 - Epoch:16/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:04,929 - Epoch:17/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:05,187 - Epoch:18/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:05,443 - Epoch:19/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:05,707 - Epoch:20/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:05,974 - Epoch:21/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:06,243 - Epoch:22/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:06,508 - Epoch:23/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:06,777 - Epoch:24/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:07,044 - Epoch:25/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:07,310 - Epoch:26/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:07,576 - Epoch:27/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:07,841 - Epoch:28/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:08,102 - Epoch:29/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:08,362 - Epoch:30/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:08,616 - Epoch:31/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:08,870 - Epoch:32/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:09,123 - Epoch:33/50,Train Accuracy:50.82089614868164%
2023-04-05 22:15:09,376 - Epoch:34/50,Train Accuracy:50.82089614868164%
