2023-04-05 21:56:23,729 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-05 21:56:23,729 - Multi_Scale_CNN(
  (conv1): Conv1d(20, 20, kernel_size=(2,), stride=(1,))
  (conv2): Conv1d(20, 20, kernel_size=(3,), stride=(1,))
  (conv3): Conv1d(20, 20, kernel_size=(4,), stride=(1,))
  (fc1): Linear(in_features=111, out_features=1000, bias=True)
  (fc2): Linear(in_features=1000, out_features=2, bias=True)
)
2023-04-05 21:56:38,260 - Epoch:99/200,Train Accuracy:50.44776153564453%
2023-04-05 21:56:38,401 - Epoch:100/200,Train Accuracy:48.2835807800293%
2023-04-05 21:56:38,546 - Epoch:101/200,Train Accuracy:50.149253845214844%
2023-04-05 21:56:38,687 - Epoch:102/200,Train Accuracy:50.0%
2023-04-05 21:56:38,829 - Epoch:103/200,Train Accuracy:52.164180755615234%
2023-04-05 21:56:38,969 - Epoch:104/200,Train Accuracy:52.46268844604492%
2023-04-05 21:56:39,109 - Epoch:105/200,Train Accuracy:49.70149230957031%
2023-04-05 21:56:39,259 - Epoch:106/200,Train Accuracy:49.70149230957031%
2023-04-05 21:56:39,409 - Epoch:107/200,Train Accuracy:51.49253845214844%
2023-04-05 21:56:39,565 - Epoch:108/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:39,703 - Epoch:109/200,Train Accuracy:48.656715393066406%
2023-04-05 21:56:39,841 - Epoch:110/200,Train Accuracy:51.044776916503906%
2023-04-05 21:56:40,000 - Epoch:111/200,Train Accuracy:49.850746154785156%
2023-04-05 21:56:40,161 - Epoch:112/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:40,324 - Epoch:113/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:40,483 - Epoch:114/200,Train Accuracy:52.08955383300781%
2023-04-05 21:56:40,646 - Epoch:115/200,Train Accuracy:52.46268844604492%
2023-04-05 21:56:40,803 - Epoch:116/200,Train Accuracy:50.970149993896484%
2023-04-05 21:56:40,965 - Epoch:117/200,Train Accuracy:50.07462692260742%
2023-04-05 21:56:41,125 - Epoch:118/200,Train Accuracy:48.88059616088867%
2023-04-05 21:56:41,287 - Epoch:119/200,Train Accuracy:51.343284606933594%
2023-04-05 21:56:41,445 - Epoch:120/200,Train Accuracy:50.74626922607422%
2023-04-05 21:56:41,606 - Epoch:121/200,Train Accuracy:50.597015380859375%
2023-04-05 21:56:41,764 - Epoch:122/200,Train Accuracy:49.17910385131836%
2023-04-05 21:56:41,928 - Epoch:123/200,Train Accuracy:51.56716537475586%
2023-04-05 21:56:42,087 - Epoch:124/200,Train Accuracy:51.343284606933594%
2023-04-05 21:56:42,249 - Epoch:125/200,Train Accuracy:51.7164192199707%
2023-04-05 21:56:42,409 - Epoch:126/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:42,573 - Epoch:127/200,Train Accuracy:46.7164192199707%
2023-04-05 21:56:42,733 - Epoch:128/200,Train Accuracy:49.3283576965332%
2023-04-05 21:56:42,891 - Epoch:129/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:43,054 - Epoch:130/200,Train Accuracy:51.49253845214844%
2023-04-05 21:56:43,210 - Epoch:131/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:43,372 - Epoch:132/200,Train Accuracy:51.49253845214844%
2023-04-05 21:56:43,529 - Epoch:133/200,Train Accuracy:48.2835807800293%
2023-04-05 21:56:43,689 - Epoch:134/200,Train Accuracy:51.49253845214844%
2023-04-05 21:56:43,844 - Epoch:135/200,Train Accuracy:51.791046142578125%
2023-04-05 21:56:43,998 - Epoch:136/200,Train Accuracy:52.68656539916992%
2023-04-05 21:56:44,154 - Epoch:137/200,Train Accuracy:48.2835807800293%
2023-04-05 21:56:44,317 - Epoch:138/200,Train Accuracy:50.89552307128906%
2023-04-05 21:56:44,474 - Epoch:139/200,Train Accuracy:50.82089614868164%
2023-04-05 21:56:44,634 - Epoch:140/200,Train Accuracy:49.402984619140625%
2023-04-05 21:56:44,792 - Epoch:141/200,Train Accuracy:51.7164192199707%
2023-04-05 21:56:44,951 - Epoch:142/200,Train Accuracy:52.3880615234375%
2023-04-05 21:56:45,111 - Epoch:143/200,Train Accuracy:51.19403076171875%
2023-04-05 21:56:45,268 - Epoch:144/200,Train Accuracy:53.2835807800293%
2023-04-05 21:56:45,448 - Epoch:145/200,Train Accuracy:48.43283462524414%
2023-04-05 21:56:45,604 - Epoch:146/200,Train Accuracy:52.164180755615234%
2023-04-05 21:56:45,763 - Epoch:147/200,Train Accuracy:49.3283576965332%
2023-04-05 21:56:45,920 - Epoch:148/200,Train Accuracy:51.19403076171875%
2023-04-05 21:56:46,074 - Epoch:149/200,Train Accuracy:52.3880615234375%
2023-04-05 21:56:46,214 - Epoch:150/200,Train Accuracy:51.417911529541016%
2023-04-05 21:56:46,360 - Epoch:151/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:46,517 - Epoch:152/200,Train Accuracy:46.86567306518555%
2023-04-05 21:56:46,682 - Epoch:153/200,Train Accuracy:48.43283462524414%
2023-04-05 21:56:46,839 - Epoch:154/200,Train Accuracy:50.37313461303711%
2023-04-05 21:56:46,996 - Epoch:155/200,Train Accuracy:50.07462692260742%
2023-04-05 21:56:47,150 - Epoch:156/200,Train Accuracy:49.92537307739258%
2023-04-05 21:56:47,306 - Epoch:157/200,Train Accuracy:50.52238845825195%
2023-04-05 21:56:47,446 - Epoch:158/200,Train Accuracy:50.52238845825195%
2023-04-05 21:56:47,581 - Epoch:159/200,Train Accuracy:50.223880767822266%
2023-04-05 21:56:47,716 - Epoch:160/200,Train Accuracy:49.47761154174805%
2023-04-05 21:56:47,854 - Epoch:161/200,Train Accuracy:53.05970001220703%
2023-04-05 21:56:47,991 - Epoch:162/200,Train Accuracy:52.31343460083008%
2023-04-05 21:56:48,127 - Epoch:163/200,Train Accuracy:49.92537307739258%
2023-04-05 21:56:48,262 - Epoch:164/200,Train Accuracy:48.80596923828125%
