2023-04-20 21:52:34,926 - lr:1e-05,weight_decay:0.01,batch_size:40
2023-04-20 21:52:34,926 - CZHNet(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-20 22:01:26,072 - Epoch:9/100,Train Accuracy:50.0%
2023-04-20 22:01:31,387 - Epoch:10/100,Train Accuracy:50.0%
2023-04-20 22:01:36,733 - Epoch:11/100,Train Accuracy:50.0%
2023-04-20 22:01:42,740 - Epoch:12/100,Train Accuracy:50.0%
2023-04-20 22:01:48,633 - Epoch:13/100,Train Accuracy:50.0%
2023-04-20 22:01:53,937 - Epoch:14/100,Train Accuracy:50.0%
2023-04-20 22:01:59,231 - Epoch:15/100,Train Accuracy:50.0%
2023-04-20 22:02:04,634 - Epoch:16/100,Train Accuracy:50.0%
2023-04-20 22:02:09,964 - Epoch:17/100,Train Accuracy:50.0%
2023-04-20 22:02:15,263 - Epoch:18/100,Train Accuracy:50.0%
2023-04-20 22:02:20,685 - Epoch:19/100,Train Accuracy:50.0%
2023-04-20 22:02:26,011 - Epoch:20/100,Train Accuracy:50.0%
2023-04-20 22:02:31,411 - Epoch:21/100,Train Accuracy:50.0%
2023-04-20 22:02:36,812 - Epoch:22/100,Train Accuracy:50.0%
2023-04-20 22:02:42,233 - Epoch:23/100,Train Accuracy:50.0%
2023-04-20 22:02:47,647 - Epoch:24/100,Train Accuracy:50.0%
2023-04-20 22:02:53,033 - Epoch:25/100,Train Accuracy:49.96556091308594%
2023-04-20 22:02:58,460 - Epoch:26/100,Train Accuracy:50.0%
2023-04-20 22:03:03,939 - Epoch:27/100,Train Accuracy:50.0%
2023-04-20 22:03:09,353 - Epoch:28/100,Train Accuracy:50.0%
2023-04-20 22:03:14,777 - Epoch:29/100,Train Accuracy:50.0%
2023-04-20 22:03:20,242 - Epoch:30/100,Train Accuracy:50.0%
2023-04-20 22:03:25,666 - Epoch:31/100,Train Accuracy:50.0%
2023-04-20 22:03:31,091 - Epoch:32/100,Train Accuracy:50.0%
2023-04-20 22:03:36,454 - Epoch:33/100,Train Accuracy:50.0%
2023-04-20 22:03:41,899 - Epoch:34/100,Train Accuracy:50.0%
2023-04-20 22:03:47,301 - Epoch:35/100,Train Accuracy:50.0%
2023-04-20 22:03:52,644 - Epoch:36/100,Train Accuracy:50.0%
2023-04-20 22:03:58,007 - Epoch:37/100,Train Accuracy:50.0%
2023-04-20 22:04:03,333 - Epoch:38/100,Train Accuracy:50.0%
2023-04-20 22:04:08,740 - Epoch:39/100,Train Accuracy:50.0%
2023-04-20 22:04:14,109 - Epoch:40/100,Train Accuracy:50.0%
2023-04-20 22:04:19,471 - Epoch:41/100,Train Accuracy:50.0%
2023-04-20 22:04:24,815 - Epoch:42/100,Train Accuracy:50.0%
2023-04-20 22:04:30,376 - Epoch:43/100,Train Accuracy:50.0%
2023-04-20 22:04:35,726 - Epoch:44/100,Train Accuracy:50.0%
2023-04-20 22:04:41,053 - Epoch:45/100,Train Accuracy:50.0%
2023-04-20 22:04:46,370 - Epoch:46/100,Train Accuracy:50.0%
2023-04-20 22:04:51,714 - Epoch:47/100,Train Accuracy:50.0%
2023-04-20 22:04:57,006 - Epoch:48/100,Train Accuracy:50.0%
2023-04-20 22:05:02,371 - Epoch:49/100,Train Accuracy:50.0%
2023-04-20 22:05:07,669 - Epoch:50/100,Train Accuracy:50.0%
2023-04-20 22:05:13,040 - Epoch:51/100,Train Accuracy:50.0%
2023-04-20 22:05:18,449 - Epoch:52/100,Train Accuracy:50.0%
2023-04-20 22:05:23,850 - Epoch:53/100,Train Accuracy:50.0%
2023-04-20 22:05:29,267 - Epoch:54/100,Train Accuracy:50.0%
2023-04-20 22:05:34,666 - Epoch:55/100,Train Accuracy:50.0%
2023-04-20 22:05:40,076 - Epoch:56/100,Train Accuracy:50.0%
2023-04-20 22:05:45,500 - Epoch:57/100,Train Accuracy:50.0%
2023-04-20 22:05:50,938 - Epoch:58/100,Train Accuracy:50.0%
2023-04-20 22:05:56,374 - Epoch:59/100,Train Accuracy:50.0%
2023-04-20 22:06:01,778 - Epoch:60/100,Train Accuracy:50.0%
2023-04-20 22:06:07,270 - Epoch:61/100,Train Accuracy:50.0%
2023-04-20 22:06:12,666 - Epoch:62/100,Train Accuracy:50.0%
2023-04-20 22:06:18,041 - Epoch:63/100,Train Accuracy:50.0%
2023-04-20 22:06:23,374 - Epoch:64/100,Train Accuracy:50.0%
2023-04-20 22:06:28,699 - Epoch:65/100,Train Accuracy:50.0%
2023-04-20 22:06:34,016 - Epoch:66/100,Train Accuracy:50.0%
2023-04-20 22:06:39,392 - Epoch:67/100,Train Accuracy:50.0%
2023-04-20 22:06:44,760 - Epoch:68/100,Train Accuracy:50.0%
2023-04-20 22:06:50,102 - Epoch:69/100,Train Accuracy:50.0%
2023-04-20 22:06:55,494 - Epoch:70/100,Train Accuracy:50.0%
2023-04-20 22:07:00,846 - Epoch:71/100,Train Accuracy:50.0%
2023-04-20 22:07:06,163 - Epoch:72/100,Train Accuracy:50.0%
2023-04-20 22:07:11,535 - Epoch:73/100,Train Accuracy:50.0%
2023-04-20 22:07:16,842 - Epoch:74/100,Train Accuracy:50.0%
2023-04-20 22:07:21,958 - Epoch:75/100,Train Accuracy:50.0%
2023-04-20 22:07:27,016 - Epoch:76/100,Train Accuracy:50.0%
2023-04-20 22:07:32,192 - Epoch:77/100,Train Accuracy:50.0%
2023-04-20 22:07:37,209 - Epoch:78/100,Train Accuracy:50.0%
2023-04-20 22:07:42,401 - Epoch:79/100,Train Accuracy:50.0%
2023-04-20 22:07:47,432 - Epoch:80/100,Train Accuracy:50.0%
2023-04-20 22:07:52,471 - Epoch:81/100,Train Accuracy:50.0%
2023-04-20 22:07:57,519 - Epoch:82/100,Train Accuracy:50.0%
2023-04-20 22:08:02,607 - Epoch:83/100,Train Accuracy:50.0%
2023-04-20 22:08:07,951 - Epoch:84/100,Train Accuracy:50.0%
2023-04-20 22:08:12,976 - Epoch:85/100,Train Accuracy:50.0%
2023-04-20 22:08:18,157 - Epoch:86/100,Train Accuracy:50.0%
2023-04-20 22:08:23,332 - Epoch:87/100,Train Accuracy:50.0%
2023-04-20 22:08:28,395 - Epoch:88/100,Train Accuracy:50.0%
2023-04-20 22:08:33,726 - Epoch:89/100,Train Accuracy:50.0%
2023-04-20 22:08:38,737 - Epoch:90/100,Train Accuracy:50.0%
2023-04-20 22:08:43,765 - Epoch:91/100,Train Accuracy:50.0%
2023-04-20 22:08:48,823 - Epoch:92/100,Train Accuracy:50.0%
2023-04-20 22:08:53,879 - Epoch:93/100,Train Accuracy:50.0%
2023-04-20 22:08:58,896 - Epoch:94/100,Train Accuracy:50.0%
2023-04-20 22:09:03,930 - Epoch:95/100,Train Accuracy:50.0%
2023-04-20 22:09:08,952 - Epoch:96/100,Train Accuracy:50.0%
2023-04-20 22:09:14,072 - Epoch:97/100,Train Accuracy:50.0%
2023-04-20 22:09:19,121 - Epoch:98/100,Train Accuracy:50.0%
2023-04-20 22:09:24,151 - Epoch:99/100,Train Accuracy:50.0%
2023-04-20 22:09:33,131 - 
Test set: Avg. loss: 0.0173, Accuracy: 7359/14718 (50.00%)

2023-04-20 22:09:33,140 - fpr:[0. 1.],tpr:[0. 1.],threshold:[1 0],auc:0.5
2023-04-20 22:09:33,140 - This is for user2
2023-04-20 22:09:46,446 - Epoch:0/100,Train Accuracy:50.0%
2023-04-20 22:09:51,053 - Epoch:1/100,Train Accuracy:50.0%
