2023-04-21 15:03:52,122 - lr:0.001,weight_decay:0.01,batch_size:64
2023-04-21 15:03:52,122 - CZHNet(
  (linear1): Linear(in_features=33, out_features=32, bias=True)
  (linear2): Linear(in_features=32, out_features=64, bias=True)
  (linear3): Linear(in_features=64, out_features=64, bias=True)
  (linear4): Linear(in_features=64, out_features=32, bias=True)
  (linear5): Linear(in_features=64, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=64, bias=True)
  (linear8): Linear(in_features=32, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-21 15:03:52,122 - This is for user0
2023-04-21 15:08:27,672 - Epoch:43/100,Train Accuracy:68.88560485839844%
2023-04-21 15:08:29,628 - Epoch:44/100,Train Accuracy:68.65313720703125%
2023-04-21 15:08:31,574 - Epoch:45/100,Train Accuracy:68.96165466308594%
2023-04-21 15:08:33,520 - Epoch:46/100,Train Accuracy:68.8626480102539%
2023-04-21 15:08:35,455 - Epoch:47/100,Train Accuracy:68.99752807617188%
2023-04-21 15:08:37,388 - Epoch:48/100,Train Accuracy:69.07215118408203%
2023-04-21 15:08:39,299 - Epoch:49/100,Train Accuracy:69.28308868408203%
2023-04-21 15:08:41,226 - Epoch:50/100,Train Accuracy:69.17833709716797%
2023-04-21 15:08:43,123 - Epoch:51/100,Train Accuracy:69.29600524902344%
2023-04-21 15:08:45,084 - Epoch:52/100,Train Accuracy:69.52559661865234%
2023-04-21 15:08:47,025 - Epoch:53/100,Train Accuracy:69.47968292236328%
2023-04-21 15:08:48,966 - Epoch:54/100,Train Accuracy:69.40219116210938%
2023-04-21 15:08:50,863 - Epoch:55/100,Train Accuracy:69.62317657470703%
2023-04-21 15:08:52,778 - Epoch:56/100,Train Accuracy:69.75806427001953%
2023-04-21 15:08:54,680 - Epoch:57/100,Train Accuracy:69.5930404663086%
2023-04-21 15:08:56,604 - Epoch:58/100,Train Accuracy:69.74514770507812%
2023-04-21 15:08:58,573 - Epoch:59/100,Train Accuracy:69.86425018310547%
2023-04-21 15:09:00,480 - Epoch:60/100,Train Accuracy:69.89151763916016%
2023-04-21 15:09:02,406 - Epoch:61/100,Train Accuracy:69.8628158569336%
2023-04-21 15:09:04,327 - Epoch:62/100,Train Accuracy:69.81546020507812%
2023-04-21 15:09:06,273 - Epoch:63/100,Train Accuracy:70.25025939941406%
2023-04-21 15:09:08,175 - Epoch:64/100,Train Accuracy:70.23590850830078%
2023-04-21 15:09:10,099 - Epoch:65/100,Train Accuracy:70.15411376953125%
2023-04-21 15:09:12,000 - Epoch:66/100,Train Accuracy:70.30191802978516%
2023-04-21 15:09:13,909 - Epoch:67/100,Train Accuracy:70.29761505126953%
2023-04-21 15:09:15,841 - Epoch:68/100,Train Accuracy:70.6319580078125%
2023-04-21 15:09:17,741 - Epoch:69/100,Train Accuracy:70.33635711669922%
2023-04-21 15:09:19,640 - Epoch:70/100,Train Accuracy:70.5616455078125%
2023-04-21 15:09:21,551 - Epoch:71/100,Train Accuracy:70.49850463867188%
2023-04-21 15:09:23,453 - Epoch:72/100,Train Accuracy:70.71805572509766%
2023-04-21 15:09:25,354 - Epoch:73/100,Train Accuracy:70.4784164428711%
2023-04-21 15:09:27,284 - Epoch:74/100,Train Accuracy:70.59178161621094%
2023-04-21 15:09:29,195 - Epoch:75/100,Train Accuracy:70.68218231201172%
2023-04-21 15:09:31,139 - Epoch:76/100,Train Accuracy:70.72380065917969%
2023-04-21 15:09:33,082 - Epoch:77/100,Train Accuracy:70.7022705078125%
2023-04-21 15:09:35,026 - Epoch:78/100,Train Accuracy:70.82280731201172%
2023-04-21 15:09:36,978 - Epoch:79/100,Train Accuracy:70.80702209472656%
2023-04-21 15:09:38,949 - Epoch:80/100,Train Accuracy:70.93904113769531%
2023-04-21 15:09:40,910 - Epoch:81/100,Train Accuracy:70.97348022460938%
2023-04-21 15:09:42,848 - Epoch:82/100,Train Accuracy:70.91034698486328%
2023-04-21 15:09:44,802 - Epoch:83/100,Train Accuracy:70.85724639892578%
2023-04-21 15:09:46,741 - Epoch:84/100,Train Accuracy:70.6506118774414%
2023-04-21 15:09:48,690 - Epoch:85/100,Train Accuracy:70.9533920288086%
2023-04-21 15:09:50,599 - Epoch:86/100,Train Accuracy:71.1011962890625%
2023-04-21 15:09:52,502 - Epoch:87/100,Train Accuracy:71.00791931152344%
2023-04-21 15:09:54,419 - Epoch:88/100,Train Accuracy:71.16864013671875%
2023-04-21 15:09:56,317 - Epoch:89/100,Train Accuracy:71.11841583251953%
2023-04-21 15:09:58,222 - Epoch:90/100,Train Accuracy:70.93473815917969%
2023-04-21 15:10:00,138 - Epoch:91/100,Train Accuracy:71.28630828857422%
2023-04-21 15:10:02,066 - Epoch:92/100,Train Accuracy:71.27626037597656%
2023-04-21 15:10:03,976 - Epoch:93/100,Train Accuracy:70.82137298583984%
2023-04-21 15:10:05,880 - Epoch:94/100,Train Accuracy:71.1255874633789%
2023-04-21 15:10:07,779 - Epoch:95/100,Train Accuracy:71.02657318115234%
2023-04-21 15:10:09,690 - Epoch:96/100,Train Accuracy:71.23320770263672%
2023-04-21 15:10:11,584 - Epoch:97/100,Train Accuracy:71.34226989746094%
2023-04-21 15:10:13,480 - Epoch:98/100,Train Accuracy:71.32935333251953%
2023-04-21 15:10:15,399 - Epoch:99/100,Train Accuracy:71.38531494140625%
2023-04-21 15:10:24,168 - 
Test set: Avg. loss: 0.0142, Accuracy: 8437/14718 (57.32%)

