2023-04-19 11:44:13,291 - lr:0.0001,weight_decay:0.01,batch_size:40
2023-04-19 11:44:13,291 - FullConnect(
  (linear1): Linear(in_features=33, out_features=256, bias=True)
  (linear2): Linear(in_features=256, out_features=256, bias=True)
  (linear3): Linear(in_features=256, out_features=128, bias=True)
  (linear4): Linear(in_features=128, out_features=128, bias=True)
  (linear5): Linear(in_features=128, out_features=64, bias=True)
  (linear6): Linear(in_features=64, out_features=64, bias=True)
  (linear7): Linear(in_features=64, out_features=40, bias=True)
  (linear8): Linear(in_features=40, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 11:44:13,292 - This is for user0
2023-04-19 11:57:40,836 - Epoch:26/100,Train Accuracy:58.796348571777344%
2023-04-19 11:57:48,400 - Epoch:27/100,Train Accuracy:58.89249038696289%
2023-04-19 11:57:55,990 - Epoch:28/100,Train Accuracy:58.860923767089844%
2023-04-19 11:58:04,419 - Epoch:29/100,Train Accuracy:58.84657287597656%
2023-04-19 11:58:12,477 - Epoch:30/100,Train Accuracy:58.655723571777344%
2023-04-19 11:58:20,116 - Epoch:31/100,Train Accuracy:58.820743560791016%
2023-04-19 11:58:27,660 - Epoch:32/100,Train Accuracy:58.866661071777344%
2023-04-19 11:58:35,263 - Epoch:33/100,Train Accuracy:59.13213348388672%
2023-04-19 11:58:43,072 - Epoch:34/100,Train Accuracy:58.750431060791016%
2023-04-19 11:58:50,962 - Epoch:35/100,Train Accuracy:58.51940155029297%
2023-04-19 11:58:58,853 - Epoch:36/100,Train Accuracy:59.173744201660156%
2023-04-19 11:59:06,677 - Epoch:37/100,Train Accuracy:59.274192810058594%
2023-04-19 11:59:14,677 - Epoch:38/100,Train Accuracy:59.53822708129883%
2023-04-19 11:59:22,271 - Epoch:39/100,Train Accuracy:59.44782638549805%
2023-04-19 11:59:30,018 - Epoch:40/100,Train Accuracy:59.15939712524414%
2023-04-19 11:59:37,658 - Epoch:41/100,Train Accuracy:59.221099853515625%
2023-04-19 11:59:45,515 - Epoch:42/100,Train Accuracy:59.45499801635742%
2023-04-19 11:59:53,533 - Epoch:43/100,Train Accuracy:58.598323822021484%
2023-04-19 12:00:01,408 - Epoch:44/100,Train Accuracy:59.17230987548828%
2023-04-19 12:00:09,088 - Epoch:45/100,Train Accuracy:59.510963439941406%
2023-04-19 12:00:16,803 - Epoch:46/100,Train Accuracy:59.23688507080078%
2023-04-19 12:00:24,491 - Epoch:47/100,Train Accuracy:59.41051483154297%
2023-04-19 12:00:32,488 - Epoch:48/100,Train Accuracy:59.2641487121582%
2023-04-19 12:00:40,235 - Epoch:49/100,Train Accuracy:59.308631896972656%
2023-04-19 12:00:47,993 - Epoch:50/100,Train Accuracy:59.13787078857422%
2023-04-19 12:00:55,960 - Epoch:51/100,Train Accuracy:58.24388885498047%
2023-04-19 12:01:03,844 - Epoch:52/100,Train Accuracy:58.75473403930664%
2023-04-19 12:01:11,597 - Epoch:53/100,Train Accuracy:58.74899673461914%
2023-04-19 12:01:19,463 - Epoch:54/100,Train Accuracy:58.0616455078125%
2023-04-19 12:01:28,569 - Epoch:55/100,Train Accuracy:58.57106018066406%
2023-04-19 12:01:37,361 - Epoch:56/100,Train Accuracy:58.67437744140625%
2023-04-19 12:01:45,555 - Epoch:57/100,Train Accuracy:58.76190948486328%
2023-04-19 12:01:53,637 - Epoch:58/100,Train Accuracy:58.00855255126953%
2023-04-19 12:02:01,587 - Epoch:59/100,Train Accuracy:58.6298942565918%
2023-04-19 12:02:10,407 - Epoch:60/100,Train Accuracy:58.453392028808594%
2023-04-19 12:02:18,570 - Epoch:61/100,Train Accuracy:58.675811767578125%
2023-04-19 12:02:26,595 - Epoch:62/100,Train Accuracy:59.1938362121582%
2023-04-19 12:02:34,778 - Epoch:63/100,Train Accuracy:58.99724578857422%
2023-04-19 12:02:42,867 - Epoch:64/100,Train Accuracy:58.89249038696289%
2023-04-19 12:02:50,889 - Epoch:65/100,Train Accuracy:58.7705192565918%
2023-04-19 12:02:58,829 - Epoch:66/100,Train Accuracy:58.00568389892578%
2023-04-19 12:03:07,721 - Epoch:67/100,Train Accuracy:58.72172927856445%
2023-04-19 12:03:15,912 - Epoch:68/100,Train Accuracy:58.602630615234375%
2023-04-19 12:03:23,761 - Epoch:69/100,Train Accuracy:59.011592864990234%
2023-04-19 12:03:31,782 - Epoch:70/100,Train Accuracy:58.84226989746094%
2023-04-19 12:03:39,805 - Epoch:71/100,Train Accuracy:58.885318756103516%
2023-04-19 12:03:48,044 - Epoch:72/100,Train Accuracy:59.05464172363281%
2023-04-19 12:03:56,341 - Epoch:73/100,Train Accuracy:58.347206115722656%
2023-04-19 12:04:05,400 - Epoch:74/100,Train Accuracy:58.36872863769531%
2023-04-19 12:04:14,071 - Epoch:75/100,Train Accuracy:58.25967025756836%
2023-04-19 12:04:22,366 - Epoch:76/100,Train Accuracy:59.19096374511719%
2023-04-19 12:04:30,817 - Epoch:77/100,Train Accuracy:59.301456451416016%
2023-04-19 12:04:39,137 - Epoch:78/100,Train Accuracy:59.011592864990234%
2023-04-19 12:04:47,713 - Epoch:79/100,Train Accuracy:58.057342529296875%
2023-04-19 12:04:56,502 - Epoch:80/100,Train Accuracy:57.89949417114258%
2023-04-19 12:05:04,929 - Epoch:81/100,Train Accuracy:58.753299713134766%
2023-04-19 12:05:13,537 - Epoch:82/100,Train Accuracy:58.120479583740234%
2023-04-19 12:05:22,103 - Epoch:83/100,Train Accuracy:58.23240661621094%
2023-04-19 12:05:30,883 - Epoch:84/100,Train Accuracy:58.340030670166016%
2023-04-19 12:05:39,948 - Epoch:85/100,Train Accuracy:58.21662139892578%
2023-04-19 12:05:48,580 - Epoch:86/100,Train Accuracy:59.079036712646484%
2023-04-19 12:05:56,875 - Epoch:87/100,Train Accuracy:58.81644058227539%
2023-04-19 12:06:05,182 - Epoch:88/100,Train Accuracy:59.013031005859375%
2023-04-19 12:06:14,464 - Epoch:89/100,Train Accuracy:58.868099212646484%
2023-04-19 12:06:22,812 - Epoch:90/100,Train Accuracy:58.70450973510742%
2023-04-19 12:06:31,188 - Epoch:91/100,Train Accuracy:58.65715789794922%
2023-04-19 12:06:39,413 - Epoch:92/100,Train Accuracy:59.05177307128906%
2023-04-19 12:06:48,259 - Epoch:93/100,Train Accuracy:59.0402946472168%
2023-04-19 12:06:57,715 - Epoch:94/100,Train Accuracy:59.09482192993164%
