2023-03-20 18:09:29,128 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-03-20 18:09:29,128 - LSTM_RNN(
  (lstm): LSTM(39, 128, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=128, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
)
2023-03-20 18:11:39,946 - Epoch:115/200,Train Accuracy:62.761192321777344%
2023-03-20 18:11:41,037 - Epoch:116/200,Train Accuracy:63.73134231567383%
2023-03-20 18:11:42,151 - Epoch:117/200,Train Accuracy:63.656715393066406%
2023-03-20 18:11:43,246 - Epoch:118/200,Train Accuracy:63.73134231567383%
2023-03-20 18:11:44,347 - Epoch:119/200,Train Accuracy:62.3880615234375%
2023-03-20 18:11:45,445 - Epoch:120/200,Train Accuracy:61.7164192199707%
2023-03-20 18:11:46,549 - Epoch:121/200,Train Accuracy:62.3880615234375%
2023-03-20 18:11:47,644 - Epoch:122/200,Train Accuracy:63.208953857421875%
2023-03-20 18:11:48,735 - Epoch:123/200,Train Accuracy:62.761192321777344%
2023-03-20 18:11:49,915 - Epoch:124/200,Train Accuracy:63.582088470458984%
2023-03-20 18:11:51,145 - Epoch:125/200,Train Accuracy:62.3880615234375%
2023-03-20 18:11:52,247 - Epoch:126/200,Train Accuracy:62.53731155395508%
2023-03-20 18:11:53,351 - Epoch:127/200,Train Accuracy:63.43283462524414%
2023-03-20 18:11:54,470 - Epoch:128/200,Train Accuracy:62.835819244384766%
2023-03-20 18:11:55,576 - Epoch:129/200,Train Accuracy:63.80596923828125%
2023-03-20 18:11:56,696 - Epoch:130/200,Train Accuracy:61.26865768432617%
2023-03-20 18:11:57,796 - Epoch:131/200,Train Accuracy:63.582088470458984%
2023-03-20 18:11:58,896 - Epoch:132/200,Train Accuracy:61.7164192199707%
2023-03-20 18:11:59,983 - Epoch:133/200,Train Accuracy:62.31343460083008%
2023-03-20 18:12:01,096 - Epoch:134/200,Train Accuracy:60.6716423034668%
2023-03-20 18:12:02,246 - Epoch:135/200,Train Accuracy:64.10447692871094%
2023-03-20 18:12:03,360 - Epoch:136/200,Train Accuracy:64.25373077392578%
2023-03-20 18:12:04,512 - Epoch:137/200,Train Accuracy:61.791046142578125%
2023-03-20 18:12:05,650 - Epoch:138/200,Train Accuracy:64.02985382080078%
2023-03-20 18:12:06,815 - Epoch:139/200,Train Accuracy:61.56716537475586%
2023-03-20 18:12:07,967 - Epoch:140/200,Train Accuracy:62.6119384765625%
2023-03-20 18:12:09,158 - Epoch:141/200,Train Accuracy:62.01492691040039%
2023-03-20 18:12:10,314 - Epoch:142/200,Train Accuracy:62.91044616699219%
2023-03-20 18:12:11,455 - Epoch:143/200,Train Accuracy:63.13432693481445%
2023-03-20 18:12:12,625 - Epoch:144/200,Train Accuracy:61.7164192199707%
2023-03-20 18:12:13,772 - Epoch:145/200,Train Accuracy:64.70149230957031%
2023-03-20 18:12:14,909 - Epoch:146/200,Train Accuracy:61.11940383911133%
2023-03-20 18:12:16,028 - Epoch:147/200,Train Accuracy:63.656715393066406%
2023-03-20 18:12:17,202 - Epoch:148/200,Train Accuracy:64.40298461914062%
2023-03-20 18:12:18,346 - Epoch:149/200,Train Accuracy:63.43283462524414%
