2023-04-19 11:19:26,877 - lr:1e-05,weight_decay:0.01,batch_size:20
2023-04-19 11:19:26,877 - LSTMModel(
  (input_layer): Linear(in_features=39, out_features=128, bias=True)
  (lstm_layers): LSTM(128, 128, num_layers=3, batch_first=True)
  (dropout_layer): Dropout(p=0.5, inplace=False)
  (bn_layer): BatchNorm1d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (fc_layer): Linear(in_features=128, out_features=64, bias=True)
  (softmax_layer): Linear(in_features=64, out_features=2, bias=True)
  (softmax): Softmax(dim=1)
)
2023-04-19 11:19:26,877 - This is for user7
2023-04-19 11:21:09,108 - Epoch:90/200,Train Accuracy:69.10447692871094%
2023-04-19 11:21:10,239 - Epoch:91/200,Train Accuracy:68.88059997558594%
2023-04-19 11:21:11,376 - Epoch:92/200,Train Accuracy:68.88059997558594%
2023-04-19 11:21:12,513 - Epoch:93/200,Train Accuracy:69.10447692871094%
2023-04-19 11:21:13,637 - Epoch:94/200,Train Accuracy:69.17910766601562%
2023-04-19 11:21:14,760 - Epoch:95/200,Train Accuracy:68.88059997558594%
2023-04-19 11:21:15,892 - Epoch:96/200,Train Accuracy:68.9552230834961%
2023-04-19 11:21:16,992 - Epoch:97/200,Train Accuracy:66.64179229736328%
2023-04-19 11:21:18,094 - Epoch:98/200,Train Accuracy:68.13433074951172%
2023-04-19 11:21:19,228 - Epoch:99/200,Train Accuracy:68.20895385742188%
2023-04-19 11:21:20,359 - Epoch:100/200,Train Accuracy:69.02985382080078%
2023-04-19 11:21:21,471 - Epoch:101/200,Train Accuracy:68.05970001220703%
2023-04-19 11:21:22,577 - Epoch:102/200,Train Accuracy:68.7313461303711%
2023-04-19 11:21:23,682 - Epoch:103/200,Train Accuracy:68.20895385742188%
2023-04-19 11:21:24,806 - Epoch:104/200,Train Accuracy:67.76119232177734%
2023-04-19 11:21:25,904 - Epoch:105/200,Train Accuracy:68.7313461303711%
2023-04-19 11:21:27,006 - Epoch:106/200,Train Accuracy:68.80596923828125%
2023-04-19 11:21:28,114 - Epoch:107/200,Train Accuracy:69.17910766601562%
2023-04-19 11:21:29,218 - Epoch:108/200,Train Accuracy:69.17910766601562%
2023-04-19 11:21:30,331 - Epoch:109/200,Train Accuracy:69.32836151123047%
2023-04-19 11:21:31,444 - Epoch:110/200,Train Accuracy:69.40298461914062%
2023-04-19 11:21:32,565 - Epoch:111/200,Train Accuracy:69.55223846435547%
2023-04-19 11:21:33,680 - Epoch:112/200,Train Accuracy:69.02985382080078%
2023-04-19 11:21:34,795 - Epoch:113/200,Train Accuracy:69.40298461914062%
2023-04-19 11:21:35,904 - Epoch:114/200,Train Accuracy:69.55223846435547%
2023-04-19 11:21:37,012 - Epoch:115/200,Train Accuracy:69.55223846435547%
2023-04-19 11:21:38,136 - Epoch:116/200,Train Accuracy:69.25373077392578%
2023-04-19 11:21:39,249 - Epoch:117/200,Train Accuracy:69.55223846435547%
2023-04-19 11:21:40,369 - Epoch:118/200,Train Accuracy:69.17910766601562%
2023-04-19 11:21:41,480 - Epoch:119/200,Train Accuracy:67.98507690429688%
2023-04-19 11:21:42,592 - Epoch:120/200,Train Accuracy:67.68656921386719%
2023-04-19 11:21:43,705 - Epoch:121/200,Train Accuracy:68.28358459472656%
2023-04-19 11:21:44,814 - Epoch:122/200,Train Accuracy:69.17910766601562%
