2023-04-19 16:18:36,706 - lr:0.001,weight_decay:1e-06,batch_size:20
2023-04-19 16:18:36,707 - LSTM_RNN(
  (lstm): LSTM(39, 256, num_layers=3, batch_first=True, dropout=0.5)
  (batch_norm): BatchNorm1d(256, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
  (lin): Linear(in_features=256, out_features=64, bias=True)
  (lin2): Linear(in_features=64, out_features=64, bias=True)
  (output_layer): Linear(in_features=64, out_features=2, bias=True)
  (relu): ReLU()
)
2023-04-19 16:23:11,728 - Epoch:130/200,Train Accuracy:69.776123046875%
2023-04-19 16:23:13,783 - Epoch:131/200,Train Accuracy:69.776123046875%
2023-04-19 16:23:15,862 - Epoch:132/200,Train Accuracy:70.89552307128906%
2023-04-19 16:23:17,957 - Epoch:133/200,Train Accuracy:68.6567153930664%
2023-04-19 16:23:20,029 - Epoch:134/200,Train Accuracy:68.6567153930664%
2023-04-19 16:23:22,126 - Epoch:135/200,Train Accuracy:68.80596923828125%
2023-04-19 16:23:24,232 - Epoch:136/200,Train Accuracy:68.58209228515625%
2023-04-19 16:23:26,348 - Epoch:137/200,Train Accuracy:70.223876953125%
2023-04-19 16:23:28,460 - Epoch:138/200,Train Accuracy:69.40298461914062%
2023-04-19 16:23:30,544 - Epoch:139/200,Train Accuracy:68.88059997558594%
2023-04-19 16:23:32,649 - Epoch:140/200,Train Accuracy:69.32836151123047%
2023-04-19 16:23:34,736 - Epoch:141/200,Train Accuracy:69.85074615478516%
2023-04-19 16:23:36,837 - Epoch:142/200,Train Accuracy:71.3432846069336%
2023-04-19 16:23:38,900 - Epoch:143/200,Train Accuracy:70.223876953125%
2023-04-19 16:23:41,007 - Epoch:144/200,Train Accuracy:69.776123046875%
2023-04-19 16:23:43,125 - Epoch:145/200,Train Accuracy:69.32836151123047%
2023-04-19 16:23:45,233 - Epoch:146/200,Train Accuracy:69.40298461914062%
2023-04-19 16:23:47,371 - Epoch:147/200,Train Accuracy:70.74626922607422%
